SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,501 Crescent Way #5104,SAN FRANCISCO,CA,94134,738888,2,2.0,SAN FRANCISCO,1054,,2006,3,701,600,Active,,,http://www.redfin.com/CA/San-Francisco/501-Crescent-Way-94134/unit-5104/home/22854830,MLSListings,ML81865209,N,Y,37.7117617,-122.388583
MLS Listing,,Multi-Family (2-4 Unit),384 Park St,San Francisco,CA,94110,1395000,6,4.0,San Francisco,2320,2550,1904,3,601,,Active,October-5-2021 02:00 PM,October-5-2021 03:30 PM,http://www.redfin.com/CA/San-Francisco/384-Park-St-94110/unit-384/home/764384,San Francisco MLS,421599597,N,Y,37.7361504,-122.4172383
MLS Listing,,Condo/Co-op,219 Brannan St Unit 11D,San Francisco,CA,94107,2395000,2,2.0,San Francisco,1395,82966,2000,3,1717,1303,Active,,,http://www.redfin.com/CA/San-Francisco/219-Brannan-St-94107/unit-11D/home/1776754,San Francisco MLS,421599212,N,Y,37.7830623,-122.3901122
MLS Listing,,Condo/Co-op,821 Folsom St #306,San Francisco,CA,94107,995000,2,2.0,San Francisco,1063,,2004,3,936,667,Active,October-6-2021 12:00 PM,October-6-2021 01:30 PM,http://www.redfin.com/CA/San-Francisco/821-Folsom-St-94107/unit-306/home/12401855,San Francisco MLS,421600258,N,Y,37.7814547,-122.4014635
MLS Listing,,Single Family Residential,2561 Chestnut St,San Francisco,CA,94123,1995000,4,2.5,San Francisco,2336,1263,1939,3,854,,Active,,,http://www.redfin.com/CA/San-Francisco/2561-Chestnut-St-94123/home/1898821,San Francisco MLS,421600536,N,Y,37.7995037,-122.4455027
MLS Listing,,Multi-Family (2-4 Unit),634 - 636 Church St,San Francisco,CA,94114,2495000,4,2.0,San Francisco,2948,2500,1941,3,846,,Active,,,http://www.redfin.com/CA/San-Francisco/634-Church-St-94114/home/710302,San Francisco MLS,421600546,N,Y,37.760739,-122.4286182
MLS Listing,,Single Family Residential,1850 19th Ave,San Francisco,CA,94122,998000,4,3.0,San Francisco,1439,2250,1906,3,694,,Active,October-5-2021 12:00 PM,October-5-2021 01:00 PM,http://www.redfin.com/CA/San-Francisco/1850-19th-Ave-94122/home/933383,San Francisco MLS,421600389,N,Y,37.7532986,-122.4759508
MLS Listing,,Condo/Co-op,118 Corwin St,San Francisco,CA,94114,1695000,2,2.0,San Francisco,1705,3003,1989,3,994,120,Active,October-5-2021 12:00 PM,October-5-2021 01:30 PM,http://www.redfin.com/CA/San-Francisco/118-Corwin-St-94114/home/1541663,San Francisco MLS,421598612,N,Y,37.7576059,-122.4404991
MLS Listing,,Single Family Residential,109 Porter St,San Francisco,CA,94110,1648000,3,4.0,San Francisco,1720,1746,,3,958,,Active,,,http://www.redfin.com/CA/San-Francisco/109-Porter-St-94110/home/1559033,San Francisco MLS,421600517,N,Y,37.7338199,-122.4180347
MLS Listing,,Condo/Co-op,3141 Gough St,San Francisco,CA,94123,3650000,4,2.5,San Francisco,2210,2812,1923,3,1652,577,Active,,,http://www.redfin.com/CA/San-Francisco/3141-Gough-St-94123/home/55244644,San Francisco MLS,421600435,N,Y,37.8024115,-122.4284225
MLS Listing,,Single Family Residential,251 Hartford St,San Francisco,CA,94114,2699000,3,3.0,San Francisco,,3125,1890,3,,,Active,,,http://www.redfin.com/CA/San-Francisco/251-Hartford-St-94114/unit-251A/home/712540,San Francisco MLS,421600498,N,Y,37.758574,-122.433349
MLS Listing,,Condo/Co-op,338 Spear St Unit 17C,San Francisco,CA,94105,1250000,1,1.0,San Francisco,,76210,2009,3,,76,Active,,,http://www.redfin.com/CA/San-Francisco/338-Spear-St-94105/unit-17C/home/23424171,San Francisco MLS,421599602,N,Y,37.7894137,-122.3906433
MLS Listing,,Condo/Co-op,1731 Larkin St #6,San Francisco,CA,94109,1650000,2,2.0,San Francisco,,,,3,,426,Active,October-5-2021 09:00 AM,October-5-2021 10:30 AM,http://www.redfin.com/CA/San-Francisco/1731-Larkin-St-94109/unit-6/home/86348881,San Francisco MLS,421599809,N,Y,37.7938586,-122.4199766
MLS Listing,,Condo/Co-op,786 Minna St #3,San Francisco,CA,94103,1100000,2,2.0,San Francisco,1200,4887,1999,3,917,498,Active,October-6-2021 12:00 PM,October-6-2021 01:30 PM,http://www.redfin.com/CA/San-Francisco/786-Minna-St-94103/unit-3/home/12395751,San Francisco MLS,421600246,N,Y,37.7761928,-122.4139198
MLS Listing,,Multi-Family (2-4 Unit),1319 Dolores St,San Francisco,CA,94110,2500000,4,2.0,San Francisco,1900,2374,1900,3,1316,,Active,October-5-2021 12:00 PM,October-5-2021 01:30 PM,http://www.redfin.com/CA/San-Francisco/1319-Dolores-St-94110/home/1990694,BAREIS,421598666,N,Y,37.7483183,-122.4245385
MLS Listing,,Single Family Residential,272 Oneida Ave,SAN FRANCISCO,CA,94112,1099000,3,1.0,SAN FRANCISCO,1058,1999,1929,3,1039,,Active,,,http://www.redfin.com/CA/San-Francisco/272-Oneida-Ave-94112/home/814773,MLSListings,ML81865131,N,Y,37.7222116,-122.4432183
MLS Listing,,Multi-Family (2-4 Unit),2908 Folsom St,San Francisco,CA,94110,1595000,4,4.0,San Francisco,1835,2757,1900,3,869,,Active,October-5-2021 02:00 PM,October-5-2021 03:30 PM,http://www.redfin.com/CA/San-Francisco/2908-Folsom-St-94110/home/1720904,San Francisco MLS,421594828,N,Y,37.7506438,-122.4142185
MLS Listing,,Condo/Co-op,3075 California St,San Francisco,CA,94115,1599000,3,2.0,San Francisco,1888,2502,1900,3,847,500,Active,,,http://www.redfin.com/CA/San-Francisco/3075-California-St-94115/home/1754373,San Francisco MLS,421599153,N,Y,37.787241,-122.444909
MLS Listing,,Single Family Residential,7949 Geary Blvd,San Francisco,CA,94121,2998888,6,3.5,San Francisco,3576,7050,1924,3,839,,Active,October-5-2021 11:00 AM,October-5-2021 12:30 PM,http://www.redfin.com/CA/San-Francisco/7949-Geary-Blvd-94121/home/1872512,San Francisco MLS,421600384,N,Y,37.7789382,-122.504808
MLS Listing,,Condo/Co-op,112 Arguello Blvd #2,San Francisco,CA,94118,1249000,2,1.0,San Francisco,,2674,1926,3,,364,Active,,,http://www.redfin.com/CA/San-Francisco/112-Arguello-Blvd-94118/unit-2/home/12353730,San Francisco MLS,421600230,N,Y,37.7881863,-122.4589978
MLS Listing,,Single Family Residential,1359 41st Ave,San Francisco,CA,94122,1495000,3,2.0,San Francisco,1991,,1947,3,751,,Active,October-5-2021 01:00 PM,October-5-2021 02:30 PM,http://www.redfin.com/CA/San-Francisco/1359-41st-Ave-94122/home/1436413,San Francisco MLS,421599790,N,Y,37.7614007,-122.5008733
MLS Listing,,Single Family Residential,858 37th Ave,San Francisco,CA,94121,2750000,6,3.5,San Francisco,3260,3000,1925,3,844,,Active,,,http://www.redfin.com/CA/San-Francisco/858-37th-Ave-94121/home/1477003,BAREIS,421599545,N,Y,37.7727574,-122.4969216
MLS Listing,,Condo/Co-op,38 Bryant St #604,San Francisco,CA,94105,1199000,2,2.0,San Francisco,1073,32017,1994,3,1117,769,Active,,,http://www.redfin.com/CA/San-Francisco/38-Bryant-St-94105/unit-604/home/724788,San Francisco MLS,421600371,N,Y,37.7873536,-122.3888066
MLS Listing,,Condo/Co-op,200 Brannan St #422,San Francisco,CA,94107,2349000,2,2.0,San Francisco,1928,72899,2004,3,1218,958,Active,October-10-2021 12:00 PM,October-10-2021 01:00 PM,http://www.redfin.com/CA/San-Francisco/200-Brannan-St-94107/unit-422/home/1224381,San Francisco MLS,421599313,N,Y,37.7838833,-122.3906104
MLS Listing,,Single Family Residential,3134 Baker St,San Francisco,CA,94123,3495000,3,3.0,San Francisco,2905,2344,1926,3,1203,,Active,October-5-2021 04:30 PM,October-5-2021 06:00 PM,http://www.redfin.com/CA/San-Francisco/3134-Baker-St-94123/home/1643160,San Francisco MLS,421599038,N,Y,37.8001017,-122.4460688
